Club,Average_Age,Average_potential,Highest_Paid_Player,Highest_Paid_Wage(Euros),Position,Total_Players,Country_with_most_players
FC Midtjylland,24.03703704,72.66666667,Z. Korcsmár,7,ST,27,Ukraine
FC Nantes,24.25,75.0625,V. Rongier,9,ST,32,United States
FC Nordsjælland,20.25925926,71.96296296,V. Nelsson,5,ST,27,United States
FC Porto,24.96428571,81.17857143,Óliver Torres,8,ST,28,Uruguay
FC Red Bull Salzburg,23.37037037,77.59259259,Z. Junuzović,8,ST,27,Zambia
FC Schalke 04,25,79.65517241,Y. Lenze,9,ST,29,United States
FC Seoul,27.53571429,67.82142857,Yun Suk Young,7,ST,28,Serbia
FC Sion,24.55555556,71.40740741,Y. Fortune,9,ST,27,Switzerland
FC Sochaux-Montbéliard,21.67857143,72.64285714,V. Glaentzlin,8,ST,28,Ukraine
FC St. Gallen,24.04,70.2,Y. Tafer,7,ST,25,United States
FC St. Pauli,25,71.16666667,W. Sobota,9,ST,30,Turkey
FC Thun,24.69230769,67,T. Righetti,8,ST,26,Switzerland
FC Tokyo,25.06666667,69.13333333,Y. Takahagi,8,ST,30,Thailand
FC Utrecht,23.73076923,73.80769231,W. Janssen,9,ST,26,Sweden
FC Wacker Innsbruck,24,66.77777778,Z. Dedič,6,ST,27,Turkey
FC Würzburger Kickers,23.18518519,67.77777778,S. Skarlatidis,7,ST,27,Switzerland
FC Zürich,24.25925926,70.88888889,Y. Maouche,9,ST,27,Switzerland
FK Austria Wien,23.62962963,72,V. Demaku,9,ST,27,Serbia
FK Bodø/Glimt,24.18518519,65.37037037,W. Hanssen,2,ST,27,Sweden
FK Haugesund,23.09090909,68.81818182,V. Skjerve,6,ST,22,Senegal
FSV Zwickau,24.6,67.16,T. Wachsmuth,2,ST,25,United States
Fenerbahçe SK,27.1,76.73333333,Y. Benzia,9,ST,30,Turkey
Feyenoord,22.89285714,77.35714286,Y. Ayoub,8,ST,28,Sweden
Fiorentina,23.41666667,79.83333333,Vitor Hugo,75,ST,24,Uruguay
Fleetwood Town,25.21428571,67.89285714,W. Burns,8,ST,28,Wales
Fluminense,30.2,72.1,Wiliam Santinho,9,ST,20,Brazil
Foggia,25.66666667,69.66666667,S. Sarri,4,ST,27,Romania
Forest Green Rovers,23.58333333,67,T. Campbell,6,ST,24,Wales
Fortuna Düsseldorf,24.51515152,74.15151515,T. Wiesner,5,ST,33,United States
Fortuna Sittard,22.25925926,71.77777778,W. Dammers,6,ST,27,Venezuela
Frosinone,25.54545455,73.75757576,Y. Chibsah,9,ST,33,Uruguay
Fulham,23.28125,76.8125,T. Ream,8,ST,32,Wales
GD Chaves,26.72,72.72,William,9,ST,25,Serbia
GFC Ajaccio,25.34782609,67.43478261,W. Jobello,5,ST,23,Senegal
GIF Sundsvall,24.47826087,67.26086957,W. Eskelinen,3,ST,23,Sweden
Galatasaray SK,25,76.7,Y. Nagatomo,7,ST,30,Uruguay
Gamba Osaka,25,67.96666667,Y. Konno,9,ST,30,Korea Republic
Gangwon FC,27.32142857,67.03571429,V. Sielis,5,ST,28,Serbia
Genoa,25.77777778,76.7037037,Sandro,9,ST,27,Sweden
Getafe CF,25.46428571,77.03571429,Ángel,5,ST,28,Uruguay
Gillingham,23.25,64.67857143,T. Holý,9,ST,28,Republic of Ireland
Gimnasia y Esgrima La Plata,24.67857143,72.71428571,V. Ayala,8,ST,28,Venezuela
Gimnàstic de Tarragona,25.43333333,72.4,Viti,8,ST,30,Venezuela
Girona FC,24.72413793,77.37931034,Y. Bounou,7,ST,29,Uruguay
Godoy Cruz,22.53571429,72.17857143,V. Ramis,9,ST,28,Uruguay
Granada CF,24.82758621,71.62068966,Álex Martínez,9,ST,29,Spain
Grasshopper Club Zürich,22.85185185,70.96296296,S. Tarashaj,9,ST,27,Venezuela
Grenoble Foot 38,27.07692308,67,Y. M'Changama,4,ST,26,Senegal
Grimsby Town,25,64.56,W. Thomas,4,ST,25,Wales
Grêmio,30,73.35,Ronaldo Cabrais,9,ST,20,Brazil
Guadalajara,24.55172414,73.17241379,R. Gudiño,8,ST,29,Mexico
Guangzhou Evergrande Taobao FC,27.10714286,69.75,Zou Zheng,8,ST,28,China PR
Guangzhou R&F; FC,25.82142857,65.32142857,Zheng Zhiming,7,ST,28,Serbia
Guizhou Hengfeng FC,27.5,64.78571429,Zhu Zhengyu,9,ST,28,Spain
Gyeongnam FC,27.42857143,64.64285714,Yu Ji Hoon,6,ST,28,Korea Republic
Górnik Zabrze,22.14814815,68.7037037,W. Pawłowski,6,ST,27,Spain
Göztepe SK,26.85714286,71.89285714,Y. Öztekin,9,ST,28,Turkey
HJK Helsinki,23.26923077,67.07692308,V. Vesiaho,1,ST,26,Russia
Hallescher FC,22.96,68.72,T. Schilk,2,ST,25,Switzerland
Hamburger SV,22.36666667,77.2,V. Janjičić,9,ST,30,Switzerland
Hamilton Academical FC,24.60714286,65.39285714,Z. Gordon,3,ST,28,Wales
Hammarby IF,25.07407407,68.96296296,V. Rodić,5,ST,27,Sweden
Hannover 96,24.44827586,75.75862069,Y. Emghames,8,ST,29,United States
Heart of Midlothian,25,72.77777778,Z. Zlámal,8,ST,27,Scotland
Hebei China Fortune FC,27.57142857,66.5,Zhao Yuhao,8,ST,28,Morocco
Hellas Verona,24.68965517,72.5862069,S. Gustafson,9,ST,29,Tunisia
Henan Jianye FC,25.57142857,64.60714286,Zhong JinBao,8,ST,28,Portugal
Heracles Almelo,23.72413793,70.79310345,Z. Erkilinc,9,ST,29,Syria
Hertha BSC,23.84375,78.5625,V. Lazaro,8,ST,32,United States
Hibernian,25.8,69.8,V. Slivka,6,ST,25,United States
Hobro IK,25.72,65.96,Y. Amankwah,6,ST,25,Zimbabwe
Hokkaido Consadole Sapporo,28.06896552,64.13793103,Y. Uchimura,3,ST,29,Thailand
Holstein Kiel,24.03448276,71.20689655,T. Weiner,9,ST,29,United States
Houston Dynamo,26.56666667,69.5,T. Martínez,8,ST,30,Venezuela
Huddersfield Town,23.4375,75.84375,T. Smith,8,ST,32,United States
Hull City,24.33333333,72.43333333,W. Keane,9,ST,30,United States
IF Brommapojkarna,23.80769231,64.53846154,T. Söderström,1,ST,26,Sweden
IF Elfsborg,25.33333333,66.88888889,V. Prodell,5,ST,27,Sweden
IFK Göteborg,23.56521739,67.65217391,V. Wernersson,2,ST,23,Sweden
IFK Norrköping,24.41666667,71.29166667,S. Thern,5,ST,24,Sweden
IK Sirius,26.40740741,64.7037037,T. Björkström,1,ST,27,Sweden
IK Start,23.79166667,69.33333333,T. Christensen,2,ST,24,Sweden
Incheon United FC,26.21428571,66.42857143,Yun Sang Ho,4,ST,28,Montenegro
Independiente,26.14285714,75.32142857,S. Romero,8,ST,28,Venezuela
Independiente Medellín,24.89285714,69.35714286,Y. Mena,9,ST,28,Uruguay
Independiente Santa Fe,28.10714286,70.39285714,Y. Gordillo,5,ST,28,Venezuela
Inter,27.45833333,81.75,T. Berni,96,ST,24,Uruguay
Internacional,29.6,73.25,Welliton Helmes,9,ST,20,Brazil
Ipswich Town,24.46666667,71.93333333,T. Chalobah,6,ST,30,Wales
